1;2;3;4;5;6;;7;;8;9;;10;11;12;;;;;13;;14;;;15;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;2;3;4;5;6;;7;;8;9;;10;11;12;;;;;13;;14;;;15;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;56;57;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;;68;;;;;
;;;;;;;;;;;;;;;;;;;72;;;;;;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;19;20;21;22;23;24;25;;;;;;;;
;;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;75;21;22;23;24;25;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;77;;;;;;;;;;;;;;;;;;;;;;;;75;21;22;23;24;25;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;78;;;;;;;;;79;;;;;;;16;17;18;19;20;21;22;23;24;25;;80;;;;;;
;;;;;;;;;;;;;;;;;;;79;;;;;;;16;17;18;19;20;21;22;23;24;25;;82;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;84;;;;;;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;;85;;;;;;;;;;13;;;;;;;16;17;18;19;20;21;22;23;24;25;;;;;;;;86
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;88;;;;;;;;;;13;;;;;;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2;3;4;5;6;;7;;8;9;;10;11;12;;;;;13;;14;;;15;;16;17;18;19;20;21;22;23;24;25;;;;;;;;
;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;23;24;25;;;;;;;;
